date,name,mobility_score
2020-04-25,Melbourne - Inner East,-0.03869151290805208
2020-04-25,Melbourne - Inner South,-0.040032426334724175
2020-04-25,Melbourne - North East,0.008646799987340643
2020-04-25,Melbourne - North West,0.035366554679553734
2020-04-25,Melbourne - Outer East,0.12462487368212587
2020-04-25,Melbourne - South East,-0.10081153117603676
2020-04-25,Melbourne - West,0.05501089406172648
2020-04-25,Mornington Peninsula,-0.14364729211307672
2020-04-25,all,-0.021740963264206117
2020-04-26,Melbourne - Inner,0.02585566440918576
2020-04-26,Melbourne - Inner East,0.08781561876978812
2020-04-26,Melbourne - Inner South,0.07191253234035538
2020-04-26,Melbourne - North East,0.1810995115359142
2020-04-26,Melbourne - North West,0.29194833572375245
2020-04-26,Melbourne - Outer East,0.132509071540603
2020-04-26,Melbourne - South East,0.08999858124145645
2020-04-26,Melbourne - West,0.14952865857404699
2020-04-26,Mornington Peninsula,0.0523181332380608
2020-04-26,all,0.058737501357747135
2020-04-27,Melbourne - Inner,0.11956268010422308
2020-04-27,Melbourne - Inner East,0.15218966691288213
2020-04-27,Melbourne - Inner South,0.1114202676066159
2020-04-27,Melbourne - North East,0.2841292078401466
2020-04-27,Melbourne - North West,0.26952711064439594
2020-04-27,Melbourne - Outer East,0.16549356652030944
2020-04-27,Melbourne - South East,0.17239611337337712
2020-04-27,Melbourne - West,0.1922107956390025
2020-04-27,Mornington Peninsula,0.1801436138849207
2020-04-27,all,0.13505277876818314
2020-04-28,Melbourne - Inner,0.1241564333667511
2020-04-28,Melbourne - Inner East,0.11487115975387596
2020-04-28,Melbourne - Inner South,0.14014890898601431
2020-04-28,Melbourne - North East,0.21932423978445464
2020-04-28,Melbourne - North West,0.13642225536764735
2020-04-28,Melbourne - Outer East,0.24117984922656333
2020-04-28,Melbourne - South East,0.21320036499437464
2020-04-28,Melbourne - West,0.22744023382430484
2020-04-28,Mornington Peninsula,0.06254738835193574
2020-04-28,all,0.13240607719359207
2020-04-29,Melbourne - Inner,0.09683351902006673
2020-04-29,Melbourne - Inner East,0.06344165653537258
2020-04-29,Melbourne - Inner South,0.1585208039767828
2020-04-29,Melbourne - North East,0.11323505260710477
2020-04-29,Melbourne - North West,0.14668327957141344
2020-04-29,Melbourne - Outer East,0.10817145509355108
2020-04-29,Melbourne - South East,0.12518065596095335
2020-04-29,Melbourne - West,0.15915565156467668
2020-04-29,Mornington Peninsula,0.09876834988611974
2020-04-29,all,0.09133546084187602
2020-04-30,Melbourne - Inner,0.1271371328725101
2020-04-30,Melbourne - Inner East,0.062163199104378425
2020-04-30,Melbourne - Inner South,0.12785341038027995
2020-04-30,Melbourne - North East,0.22139562024477172
2020-04-30,Melbourne - North West,0.20943155929271368
2020-04-30,Melbourne - Outer East,0.14576158950314816
2020-04-30,Melbourne - South East,0.16099838823804535
2020-04-30,Melbourne - West,0.1230077400387315
2020-04-30,Mornington Peninsula,0.19106818876309462
2020-04-30,all,0.11619503323574201
2020-05-01,Melbourne - Inner,0.1236860215722961
2020-05-01,Melbourne - Inner East,0.09190426722505601
2020-05-01,Melbourne - Inner South,0.0826783570078761
2020-05-01,Melbourne - North East,0.2117379077503202
2020-05-01,Melbourne - North West,0.23673949234459576
2020-05-01,Melbourne - Outer East,0.18736613174381198
2020-05-01,Melbourne - South East,0.1170471375599608
2020-05-01,Melbourne - West,0.1747602706455264
2020-05-01,Mornington Peninsula,0.1991938152904807
2020-05-01,all,0.12400926784034558
2020-05-02,Melbourne - Inner,0.06676802221314437
2020-05-02,Melbourne - Inner East,0.08679912694509366
2020-05-02,Melbourne - Inner South,0.09656039658417763
2020-05-02,Melbourne - North East,0.2238556892411533
2020-05-02,Melbourne - North West,0.21289725890859326
2020-05-02,Melbourne - Outer East,0.270874668759243
2020-05-02,Melbourne - South East,0.16970609165537817
2020-05-02,Melbourne - West,0.2632913284569917
2020-05-02,Mornington Peninsula,0.034095075468513834
2020-05-02,all,0.0983500141266508
2020-05-03,Melbourne - Inner,0.048581971832627885
2020-05-03,Melbourne - Inner East,0.16546399181747237
2020-05-03,Melbourne - Inner South,0.1662784835498078
2020-05-03,Melbourne - North East,0.2747688819318633
2020-05-03,Melbourne - North West,0.38571997386730883
2020-05-03,Melbourne - Outer East,0.25872462504862054
2020-05-03,Melbourne - South East,0.15112690626579264
2020-05-03,Melbourne - West,0.22888506570145453
2020-05-03,Mornington Peninsula,0.13526717751078152
2020-05-03,all,0.1077516038096778
2020-05-04,Melbourne - Inner,0.17314578181604595
2020-05-04,Melbourne - Inner East,0.13363636057164735
2020-05-04,Melbourne - Inner South,0.20213021595233496
2020-05-04,Melbourne - North East,0.3288588965096978
2020-05-04,Melbourne - North West,0.2892811624438833
2020-05-04,Melbourne - Outer East,0.21675941367432733
2020-05-04,Melbourne - South East,0.2110656147642009
2020-05-04,Melbourne - West,0.2511278859786807
2020-05-04,Mornington Peninsula,0.23992691019245052
2020-05-04,all,0.18377463259790053
2020-05-05,Melbourne - Inner,0.18316256331363392
2020-05-05,Melbourne - Inner East,0.17694429669226777
2020-05-05,Melbourne - Inner South,0.14942270149907644
2020-05-05,Melbourne - North East,0.19229707347745276
2020-05-05,Melbourne - North West,0.353997204347871
2020-05-05,Melbourne - Outer East,0.1680724590355153
2020-05-05,Melbourne - South East,0.2255221164145357
2020-05-05,Melbourne - West,0.2520202875021177
2020-05-05,Mornington Peninsula,0.23960311700830755
2020-05-05,all,0.1923959746131758
2020-05-06,Melbourne - Inner,0.17506175792069828
2020-05-06,Melbourne - Inner East,0.15910804357824423
2020-05-06,Melbourne - Inner South,0.23972293719070492
2020-05-06,Melbourne - North East,0.32482140631929163
2020-05-06,Melbourne - North West,0.28583864018111643
2020-05-06,Melbourne - Outer East,0.24229116112233604
2020-05-06,Melbourne - South East,0.2200005267528191
2020-05-06,Melbourne - West,0.25573437297277635
2020-05-06,Mornington Peninsula,0.2240502153599245
2020-05-06,all,0.19334848043731417
2020-05-07,Melbourne - Inner,0.17006645473171658
2020-05-07,Melbourne - Inner East,0.16947345671233777
2020-05-07,Melbourne - Inner South,0.18798981250795582
2020-05-07,Melbourne - North East,0.24651091272091682
2020-05-07,Melbourne - North West,0.20581721481140663
