date,name,cases_rolling,facebook_mobility_score
2020-01-10,lowSE,0.0,
2020-01-10,midSE,0.0,
2020-01-11,Banyule (C),0.0,
2020-01-11,Bayside (C),0.0,
2020-01-11,Boroondara (C),0.0,
2020-01-11,Brimbank (C),0.0,
2020-01-11,Cardinia (S),0.0,
2020-01-11,Casey (C),0.0,
2020-01-11,Darebin (C),0.0,
2020-01-11,Frankston (C),0.0,
2020-01-11,Glen Eira (C),0.0,
2020-01-11,Greater Dandenong (C),0.0,
2020-01-11,Hobsons Bay (C),0.0,
2020-01-11,Hume (C),0.0,
2020-01-11,Kingston (C) (Vic.),,
2020-01-11,Knox (C),0.0,
2020-01-11,Manningham (C),0.0,
2020-01-11,Maribyrnong (C),0.0,
2020-01-11,Maroondah (C),0.0,
2020-01-11,Melbourne (C),0.0,
2020-01-11,Melton (C),0.0,
2020-01-11,Monash (C),0.0,
2020-01-11,Moonee Valley (C),0.0,
2020-01-11,Moreland (C),0.0,
2020-01-11,Mornington Peninsula (S),0.0,
2020-01-11,Nillumbik (S),0.0,
2020-01-11,Port Phillip (C),0.0,
2020-01-11,Stonnington (C),0.0,
2020-01-11,Whitehorse (C),0.0,
2020-01-11,Whittlesea (C),0.0,
2020-01-11,Wyndham (C),0.0,
2020-01-11,Yarra (C),0.0,
2020-01-11,all,0.0,
2020-01-11,highSE,0.0,
2020-01-11,lowSE,0.0,
2020-01-11,midSE,0.0,
2020-01-12,Banyule (C),0.0,
2020-01-12,Bayside (C),0.0,
2020-01-12,Boroondara (C),0.0,
2020-01-12,Brimbank (C),0.0,
2020-01-12,Cardinia (S),0.0,
2020-01-12,Casey (C),0.0,
2020-01-12,Darebin (C),0.0,
2020-01-12,Frankston (C),0.0,
2020-01-12,Glen Eira (C),0.0,
2020-01-12,Greater Dandenong (C),0.0,
2020-01-12,Hobsons Bay (C),0.0,
2020-01-12,Hume (C),0.0,
2020-01-12,Kingston (C) (Vic.),,
2020-01-12,Knox (C),0.0,
2020-01-12,Manningham (C),0.0,
2020-01-12,Maribyrnong (C),0.0,
2020-01-12,Maroondah (C),0.0,
2020-01-12,Melbourne (C),0.0,
2020-01-12,Melton (C),0.0,
2020-01-12,Monash (C),0.0,
2020-01-12,Moonee Valley (C),0.0,
2020-01-12,Moreland (C),0.0,
2020-01-12,Mornington Peninsula (S),0.0,
2020-01-12,Nillumbik (S),0.0,
2020-01-12,Port Phillip (C),0.0,
2020-01-12,Stonnington (C),0.0,
2020-01-12,Whitehorse (C),0.0,
2020-01-12,Whittlesea (C),0.0,
2020-01-12,Wyndham (C),0.0,
2020-01-12,Yarra (C),0.0,
2020-01-12,all,0.0,
2020-01-12,highSE,0.0,
2020-01-12,lowSE,0.0,
2020-01-12,midSE,0.0,
2020-01-13,Banyule (C),0.0,
2020-01-13,Bayside (C),0.0,
2020-01-13,Boroondara (C),0.0,
2020-01-13,Brimbank (C),0.0,
2020-01-13,Cardinia (S),0.0,
2020-01-13,Casey (C),0.0,
2020-01-13,Darebin (C),0.0,
2020-01-13,Frankston (C),0.0,
2020-01-13,Glen Eira (C),0.0,
2020-01-13,Greater Dandenong (C),0.0,
2020-01-13,Hobsons Bay (C),0.0,
2020-01-13,Hume (C),0.0,
2020-01-13,Kingston (C) (Vic.),,
2020-01-13,Knox (C),0.0,
2020-01-13,Manningham (C),0.0,
2020-01-13,Maribyrnong (C),0.0,
2020-01-13,Maroondah (C),0.0,
2020-01-13,Melbourne (C),0.0,
2020-01-13,Melton (C),0.0,
2020-01-13,Monash (C),0.0,
2020-01-13,Moonee Valley (C),0.0,
2020-01-13,Moreland (C),0.0,
2020-01-13,Mornington Peninsula (S),0.0,
2020-01-13,Nillumbik (S),0.0,
2020-01-13,Port Phillip (C),0.0,
2020-01-13,Stonnington (C),0.0,
2020-01-13,Whitehorse (C),0.0,
2020-01-13,Whittlesea (C),0.0,
2020-01-13,Wyndham (C),0.0,
2020-01-13,Yarra (C),0.0,
2020-01-13,all,0.0,
2020-01-13,highSE,0.0,
2020-01-13,lowSE,0.0,
2020-01-13,midSE,0.0,
2020-01-14,Banyule (C),0.0,
2020-01-14,Bayside (C),0.0,
2020-01-14,Boroondara (C),0.0,
2020-01-14,Brimbank (C),0.0,
2020-01-14,Cardinia (S),0.0,
2020-01-14,Casey (C),0.0,
2020-01-14,Darebin (C),0.0,
2020-01-14,Frankston (C),0.0,
2020-01-14,Glen Eira (C),0.0,
2020-01-14,Greater Dandenong (C),0.0,
2020-01-14,Hobsons Bay (C),0.0,
2020-01-14,Hume (C),0.0,
2020-01-14,Kingston (C) (Vic.),,
2020-01-14,Knox (C),0.0,
2020-01-14,Manningham (C),0.0,
2020-01-14,Maribyrnong (C),0.0,
2020-01-14,Maroondah (C),0.0,
2020-01-14,Melbourne (C),0.0,
2020-01-14,Melton (C),0.0,
2020-01-14,Monash (C),0.0,
2020-01-14,Moonee Valley (C),0.0,
2020-01-14,Moreland (C),0.0,
2020-01-14,Mornington Peninsula (S),0.0,
2020-01-14,Nillumbik (S),0.0,
2020-01-14,Port Phillip (C),0.0,
2020-01-14,Stonnington (C),0.0,
2020-01-14,Whitehorse (C),0.0,
2020-01-14,Whittlesea (C),0.0,
2020-01-14,Wyndham (C),0.0,
2020-01-14,Yarra (C),0.0,
2020-01-14,all,0.0,
2020-01-14,highSE,0.0,
2020-01-14,lowSE,0.0,
2020-01-14,midSE,0.0,
2020-01-15,Banyule (C),0.0,
2020-01-15,Bayside (C),0.0,
2020-01-15,Boroondara (C),0.0,
2020-01-15,Brimbank (C),0.0,
2020-01-15,Cardinia (S),0.0,
2020-01-15,Casey (C),0.0,
2020-01-15,Darebin (C),0.0,
2020-01-15,Frankston (C),0.0,
2020-01-15,Glen Eira (C),0.0,
2020-01-15,Greater Dandenong (C),0.0,
2020-01-15,Hobsons Bay (C),0.0,
2020-01-15,Hume (C),0.0,
2020-01-15,Kingston (C) (Vic.),,
2020-01-15,Knox (C),0.0,
2020-01-15,Manningham (C),0.0,
2020-01-15,Maribyrnong (C),0.0,
2020-01-15,Maroondah (C),0.0,
2020-01-15,Melbourne (C),0.0,
2020-01-15,Melton (C),0.0,
2020-01-15,Monash (C),0.0,
2020-01-15,Moonee Valley (C),0.0,
2020-01-15,Moreland (C),0.0,
2020-01-15,Mornington Peninsula (S),0.0,
2020-01-15,Nillumbik (S),0.0,
2020-01-15,Port Phillip (C),0.0,
2020-01-15,Stonnington (C),0.0,
2020-01-15,Whitehorse (C),0.0,
