date,name,cases_rolling,facebook_mobility_score
2020-01-09,Bayside (A),0.0,
2020-01-09,Blacktown (C),0.0,
2020-01-09,Burwood (A),0.0,
2020-01-09,Camden (A),0.0,
2020-01-09,Canada Bay (A),0.0,
2020-01-09,Canterbury-Bankstown (A),0.0,
2020-01-09,Central Coast (C) (NSW),0.0,
2020-01-09,Cumberland (A),0.0,
2020-01-09,Fairfield (C),0.0,
2020-01-09,Georges River (A),0.0,
2020-01-09,Hawkesbury (C),0.0,
2020-01-09,Hornsby (A),0.0,
2020-01-09,Hunters Hill (A),0.0,
2020-01-09,Inner West (A),0.0,
2020-01-09,Ku-ring-gai (A),0.0,
2020-01-09,Lane Cove (A),0.0,
2020-01-09,Liverpool (C),0.0,
2020-01-09,Mosman (A),0.0,
2020-01-09,North Sydney (A),0.0,
2020-01-09,Northern Beaches (A),0.0,
2020-01-09,Parramatta (C),0.0,
2020-01-09,Penrith (C),0.0,
2020-01-09,Randwick (C),0.0,
2020-01-09,Ryde (C),0.0,
2020-01-09,Strathfield (A),0.0,
2020-01-09,Sydney (C),0.0,
2020-01-09,The Hills Shire (A),0.0,
2020-01-09,Waverley (A),0.0,
2020-01-09,Willoughby (C),0.0,
2020-01-09,Woollahra (A),0.0,
2020-01-09,all,0.0,
2020-01-09,highSE,0.0,
2020-01-09,lowSE,0.0,
2020-01-09,midSE,0.0,
2020-01-10,Bayside (A),0.0,
2020-01-10,Blacktown (C),0.0,
2020-01-10,Burwood (A),0.0,
2020-01-10,Camden (A),0.0,
2020-01-10,Canada Bay (A),0.0,
2020-01-10,Canterbury-Bankstown (A),0.0,
2020-01-10,Central Coast (C) (NSW),0.0,
2020-01-10,Cumberland (A),0.0,
2020-01-10,Fairfield (C),0.0,
2020-01-10,Georges River (A),0.0,
2020-01-10,Hawkesbury (C),0.0,
2020-01-10,Hornsby (A),0.0,
2020-01-10,Hunters Hill (A),0.0,
2020-01-10,Inner West (A),0.0,
2020-01-10,Ku-ring-gai (A),0.0,
2020-01-10,Lane Cove (A),0.0,
2020-01-10,Liverpool (C),0.0,
2020-01-10,Mosman (A),0.0,
2020-01-10,North Sydney (A),0.0,
2020-01-10,Northern Beaches (A),0.0,
2020-01-10,Parramatta (C),0.0,
2020-01-10,Penrith (C),0.0,
2020-01-10,Randwick (C),0.0,
2020-01-10,Ryde (C),0.0,
2020-01-10,Strathfield (A),0.0,
2020-01-10,Sydney (C),0.0,
2020-01-10,The Hills Shire (A),0.0,
2020-01-10,Waverley (A),0.0,
2020-01-10,Willoughby (C),0.0,
2020-01-10,Woollahra (A),0.0,
2020-01-10,all,0.0,
2020-01-10,highSE,0.0,
2020-01-10,lowSE,0.0,
2020-01-10,midSE,0.0,
2020-01-11,Bayside (A),0.0,
2020-01-11,Blacktown (C),0.0,
2020-01-11,Burwood (A),0.0,
2020-01-11,Camden (A),0.0,
2020-01-11,Canada Bay (A),0.0,
2020-01-11,Canterbury-Bankstown (A),0.0,
2020-01-11,Central Coast (C) (NSW),0.0,
2020-01-11,Cumberland (A),0.0,
