date,name,mobility_score,cases_rolling
2020-04-09,Greater Dandenong (C),0.0886458777124209,0.2857142857142857
2020-04-09,Hobsons Bay (C),0.07722256238261581,0.0
2020-04-09,Hume (C),0.13098022350498312,0.2857142857142857
2020-04-09,Kingston (C) (Vic.),0.20545707902472624,
2020-04-09,Knox (C),0.2706722641412777,0.2857142857142857
2020-04-09,Manningham (C),0.05977129257066637,0.7142857142857143
2020-04-09,Maribyrnong (C),0.07708616170831359,0.0
2020-04-09,Maroondah (C),0.09939936281507332,0.0
2020-04-09,Melbourne (C),0.04974801922304536,0.8571428571428571
2020-04-09,Melton (C),0.23368032069504954,0.14285714285714285
2020-04-09,Monash (C),0.0990460382438958,0.7142857142857143
2020-04-09,Moonee Valley (C),0.061546556936276586,0.7142857142857143
2020-04-09,Moreland (C),0.0505039770640699,0.5714285714285714
2020-04-09,Mornington Peninsula (S),0.1794663939804409,0.2857142857142857
2020-04-09,Nillumbik (S),0.0,0.42857142857142855
2020-04-09,Port Phillip (C),0.02529920459351923,0.8571428571428571
2020-04-09,Stonnington (C),-0.004058676800979536,0.2857142857142857
2020-04-09,Whitehorse (C),0.1501698876888818,0.14285714285714285
2020-04-09,Whittlesea (C),0.13648818898811063,0.8571428571428571
2020-04-09,Wyndham (C),0.1677216179316996,0.14285714285714285
2020-04-09,Yarra (C),0.020524023582916495,0.0
2020-04-09,all,0.03209075589755565,11.428571428571429
2020-04-09,highSE,0.02127027729647853,4.571428571428571
2020-04-09,lowSE,0.0722533587093256,3.0
2020-04-09,midSE,0.037590841067459566,3.857142857142857
2020-04-14,Banyule (C),0.15378979637380977,0.8571428571428571
2020-04-14,Bayside (C),0.08112253876007129,0.0
2020-04-14,Boroondara (C),-0.03491667037144004,0.0
2020-04-14,Brimbank (C),-0.01579356407956904,0.14285714285714285
2020-04-14,Cardinia (S),0.1122896315483185,0.0
2020-04-14,Casey (C),0.1452279254364995,0.42857142857142855
2020-04-14,Darebin (C),-0.008198898821634631,0.0
2020-04-14,Frankston (C),0.016455078302618577,0.14285714285714285
2020-04-14,Glen Eira (C),-0.05642804592240349,0.14285714285714285
